county_name,County Name Cleaned,state_ID,countyFIPS,State,county_correct_spelling
DeWitt County,DeWitt,DeWittTX,48123,TX,
Dickens County,Dickens,DickensTX,48125,TX,
Dimmit County,Dimmit,DimmitTX,48127,TX,
Donley County,Donley,DonleyTX,48129,TX,
Duval County,Duval,DuvalTX,48131,TX,
Eastland County,Eastland,EastlandTX,48133,TX,
Ector County,Ector,EctorTX,48135,TX,
Edwards County,Edwards,EdwardsTX,48137,TX,
Ellis County,Ellis,EllisTX,48139,TX,
El Paso County,El Paso,El PasoTX,48141,TX,
Erath County,Erath,ErathTX,48143,TX,
Falls County,Falls,FallsTX,48145,TX,
Fannin County,Fannin,FanninTX,48147,TX,
Fayette County,Fayette,FayetteTX,48149,TX,
Fisher County,Fisher,FisherTX,48151,TX,
Floyd County,Floyd,FloydTX,48153,TX,
Foard County,Foard,FoardTX,48155,TX,
Fort Bend County,Fort Bend,Fort BendTX,48157,TX,
Franklin County,Franklin,FranklinTX,48159,TX,
Freestone County,Freestone,FreestoneTX,48161,TX,
Frio County,Frio,FrioTX,48163,TX,
Gaines County,Gaines,GainesTX,48165,TX,
Galveston County,Galveston,GalvestonTX,48167,TX,
Garza County,Garza,GarzaTX,48169,TX,
Gillespie County,Gillespie,GillespieTX,48171,TX,
Glasscock County,Glasscock,GlasscockTX,48173,TX,
Goliad County,Goliad,GoliadTX,48175,TX,
Gonzales County,Gonzales,GonzalesTX,48177,TX,
Gray County,Gray,GrayTX,48179,TX,
Grayson County,Grayson,GraysonTX,48181,TX,
Gregg County,Gregg,GreggTX,48183,TX,
Grimes County,Grimes,GrimesTX,48185,TX,
Guadalupe County,Guadalupe,GuadalupeTX,48187,TX,
Hale County,Hale,HaleTX,48189,TX,
Hall County,Hall,HallTX,48191,TX,
Hamilton County,Hamilton,HamiltonTX,48193,TX,
Hansford County,Hansford,HansfordTX,48195,TX,
Hardeman County,Hardeman,HardemanTX,48197,TX,
Hardin County,Hardin,HardinTX,48199,TX,
Harris County,Harris,HarrisTX,48201,TX,
Harrison County,Harrison,HarrisonTX,48203,TX,
Hartley County,Hartley,HartleyTX,48205,TX,
Haskell County,Haskell,HaskellTX,48207,TX,
Hays County,Hays,HaysTX,48209,TX,
Hemphill County,Hemphill,HemphillTX,48211,TX,
Henderson County,Henderson,HendersonTX,48213,TX,
Hidalgo County,Hidalgo,HidalgoTX,48215,TX,
Hill County,Hill,HillTX,48217,TX,
Hockley County,Hockley,HockleyTX,48219,TX,
Hood County,Hood,HoodTX,48221,TX,
Hopkins County,Hopkins,HopkinsTX,48223,TX,
Houston County,Houston,HoustonTX,48225,TX,
Howard County,Howard,HowardTX,48227,TX,
Hudspeth County,Hudspeth,HudspethTX,48229,TX,
Hunt County,Hunt,HuntTX,48231,TX,
Hutchinson County,Hutchinson,HutchinsonTX,48233,TX,
Irion County,Irion,IrionTX,48235,TX,
Jack County,Jack,JackTX,48237,TX,
Jackson County,Jackson,JacksonTX,48239,TX,
Jasper County,Jasper,JasperTX,48241,TX,
Jeff Davis County,Jeff Davis,Jeff DavisTX,48243,TX,
Jefferson County,Jefferson,JeffersonTX,48245,TX,
Jim Hogg County,Jim Hogg,Jim HoggTX,48247,TX,
Jim Wells County,Jim Wells,Jim WellsTX,48249,TX,
Johnson County,Johnson,JohnsonTX,48251,TX,
Jones County,Jones,JonesTX,48253,TX,
Karnes County,Karnes,KarnesTX,48255,TX,
Kaufman County,Kaufman,KaufmanTX,48257,TX,
Kendall County,Kendall,KendallTX,48259,TX,
Kenedy County,Kenedy,KenedyTX,48261,TX,
Kent County,Kent,KentTX,48263,TX,
Kerr County,Kerr,KerrTX,48265,TX,
Kimble County,Kimble,KimbleTX,48267,TX,
King County,King,KingTX,48269,TX,
Kinney County,Kinney,KinneyTX,48271,TX,
Kleberg County,Kleberg,KlebergTX,48273,TX,
Knox County,Knox,KnoxTX,48275,TX,
Lamar County,Lamar,LamarTX,48277,TX,
Lamb County,Lamb,LambTX,48279,TX,
Lampasas County,Lampasas,LampasasTX,48281,TX,
La Salle County,La Salle,La SalleTX,48283,TX,
Lavaca County,Lavaca,LavacaTX,48285,TX,
Lee County,Lee,LeeTX,48287,TX,
Leon County,Leon,LeonTX,48289,TX,
Liberty County,Liberty,LibertyTX,48291,TX,
Limestone County,Limestone,LimestoneTX,48293,TX,
Lipscomb County,Lipscomb,LipscombTX,48295,TX,
Live Oak County,Live Oak,Live OakTX,48297,TX,
Llano County,Llano,LlanoTX,48299,TX,
Loving County,Loving,LovingTX,48301,TX,
Lubbock County,Lubbock,LubbockTX,48303,TX,
Lynn County,Lynn,LynnTX,48305,TX,
McCulloch County,McCulloch,McCullochTX,48307,TX,
McLennan County,McLennan,McLennanTX,48309,TX,
McMullen County,McMullen,McMullenTX,48311,TX,
Madison County,Madison,MadisonTX,48313,TX,
Marion County,Marion,MarionTX,48315,TX,
Martin County,Martin,MartinTX,48317,TX,
Mason County,Mason,MasonTX,48319,TX,
Matagorda County,Matagorda,MatagordaTX,48321,TX,
Maverick County,Maverick,MaverickTX,48323,TX,
Medina County,Medina,MedinaTX,48325,TX,
Menard County,Menard,MenardTX,48327,TX,
Midland County,Midland,MidlandTX,48329,TX,
Milam County,Milam,MilamTX,48331,TX,
Mills County,Mills,MillsTX,48333,TX,
Mitchell County,Mitchell,MitchellTX,48335,TX,
Montague County,Montague,MontagueTX,48337,TX,
Montgomery County,Montgomery,MontgomeryTX,48339,TX,
Moore County,Moore,MooreTX,48341,TX,
Morris County,Morris,MorrisTX,48343,TX,
Motley County,Motley,MotleyTX,48345,TX,
Nacogdoches County,Nacogdoches,NacogdochesTX,48347,TX,
Navarro County,Navarro,NavarroTX,48349,TX,
Newton County,Newton,NewtonTX,48351,TX,
Nolan County,Nolan,NolanTX,48353,TX,
Nueces County,Nueces,NuecesTX,48355,TX,
Ochiltree County,Ochiltree,OchiltreeTX,48357,TX,
Oldham County,Oldham,OldhamTX,48359,TX,
Orange County,Orange,OrangeTX,48361,TX,
Palo Pinto County,Palo Pinto,Palo PintoTX,48363,TX,
Panola County,Panola,PanolaTX,48365,TX,
Parker County,Parker,ParkerTX,48367,TX,
Parmer County,Parmer,ParmerTX,48369,TX,
Pecos County,Pecos,PecosTX,48371,TX,
Polk County,Polk,PolkTX,48373,TX,
Potter County,Potter,PotterTX,48375,TX,
Presidio County,Presidio,PresidioTX,48377,TX,
Rains County,Rains,RainsTX,48379,TX,
Randall County,Randall,RandallTX,48381,TX,
Reagan County,Reagan,ReaganTX,48383,TX,
Real County,Real,RealTX,48385,TX,
Red River County,Red River,Red RiverTX,48387,TX,
Reeves County,Reeves,ReevesTX,48389,TX,
Refugio County,Refugio,RefugioTX,48391,TX,
